token,data/hora_envio,idade,genero,cor/raca/etnia,pcd,uf_onde_mora,regiao_onde_mora,uf_de_origem,regiao_de_origem,vive_no_brasil,pais_onde_mora,estado_onde_mora,estado_de_origem,nivel_de_ensino,area_de_formação,situação_de_trabalho,setor,numero_de_funcionarios,atua_como_gestor,cargo_como_gestor,cargo_atual,nivel,tempo_de_experiencia_em_dados,tempo_de_experiencia_em_ti,linguagem_de_programacao_(dia_a_dia),linguagem_mais_usada,linguagem_preferida,banco_de_dados_(dia_a_dia),cloud_(dia_a_dia),cloud_preferida,ferramenta_de_bi_(dia_a_dia)
no4elw0hx06e746sb37no4euw7h323qw,01/11/2024 12:58:50,19,Masculino,Parda,Não,AL,Nordeste,,,True,,Alagoas (AL),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Setor Público,de 101 a 500,False,,Outra Opção,Júnior,Menos de 1 ano,de 1 a 2 anos,"SQL, Python, JavaScript",Python,Python,"PostgreSQL, MySQL","Servidores On Premise/Não utilizamos Cloud, Cloud Própria",Google Cloud (GCP),"Microsoft PowerBI, Tableau"
1w30ys1cmbi7q7u1we228h9otcmnaoh2,05/11/2024 11:51:01,19,Feminino,Parda,Sim,PB,Nordeste,,,True,,Paraíba (PB),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
uqfptzdpvym1enouqfpt1hoxhogfz8be,07/11/2024 13:17:53,19,Masculino,Branca,Não,PE,Nordeste,,,True,,Pernambuco (PE),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Freelancer,Educação,de 101 a 500,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,Outra opção
blq95jhum6i5vhrmwbblq95jhumauxlf,11/11/2024 11:57:03,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,False,,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",SQL,Python,"Hive, HBase, MySQL, SQL SERVER, PostgreSQL, Oracle","Google Cloud (GCP), nenhuma",Não sei opinar / Não tenho preferência,Superset
btkqwnb49kbhkrunbj750btkqwnbdnkk,13/11/2024 16:11:28,19,Feminino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Varejo,Acima de 3.000,False,,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Menos de 1 ano,de 1 a 2 anos,"SQL, Python, PHP",SQL,Python,"S3, Amazon Athena, Amazon Redshift, MySQL, Oracle, MongoDB","Amazon Web Services (AWS), Google Cloud (GCP)",Não sei opinar / Não tenho preferência,"Grafana, Metabase, Microsoft PowerBI, Alteryx"
6ltlnw2gd0fltrxvp26ltlnwrcolvumc,14/11/2024 13:40:41,19,Masculino,Preta,Não,RS,Sul,,,True,,Rio Grande do Sul (RS),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
bnp4tcm3drxlnnd2dz7bnp4tg9436b9g,14/11/2024 15:32:28,19,Feminino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,Acima de 3.000,False,,Analista de Negócios/Business Analyst,Júnior,Não tenho experiência na área de dados,Menos de 1 ano,SQL,Não utilizo nenhuma das linguagens listadas no trabalho,Python,"Microsoft Access, PostgreSQL, Snowflake","Azure (Microsoft), IBM, Cloud Própria",Amazon Web Services (AWS),Microsoft PowerBI
0seyh4d7lxwj64iflbu0seyhd7xpadb3,14/11/2024 15:40:15,19,Feminino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,Acima de 3.000,False,,Analista de Negócios/Business Analyst,Júnior,Menos de 1 ano,Menos de 1 ano,SQL,SQL,Python,PostgreSQL,"IBM, Azure (Microsoft)",Azure (Microsoft),Microsoft PowerBI
3egotvgaqe0mhj83eguh8ustdpdvz5pk,23/11/2024 22:12:58,19,Masculino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),,,,,,,,,,,,,,,
2xgrvf83fyzncnmx42xgrvov4rgzzfr6,27/11/2024 17:35:40,19,Feminino,Branca,Não,RS,Sul,,,True,,Rio Grande do Sul (RS),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Finanças ou Bancos,Acima de 3.000,False,,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",Python,Python,Databricks,"Cloud Própria, Servidores On Premise/Não utilizamos Cloud",Não sei opinar / Não tenho preferência,Fazemos todas as análises utilizando apenas Excel ou planilhas do google
wlifytxq4mujf3itdwlifytxroexept1,02/12/2024 13:19:14,19,Masculino,Parda,Não,PE,Nordeste,,,True,,Pernambuco (PE),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
83i3spxrxcfwk83i3sdezx8v2979c6lv,02/12/2024 15:48:31,19,Masculino,Branca,Não,DF,Centro-oeste,GO,Centro-oeste,True,,Distrito Federal (DF),Goiás (GO),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,de 1.001 a 3.000,False,,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,SQL,Python,Oracle,Oracle Cloud,Não sei opinar / Não tenho preferência,Outra opção
znjaxsrcf69rhw990ebtaznjaxsrt2d0,03/12/2024 00:35:18,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Marketing,de 1 a 5,True,Supervisor/Coordenador,,,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
ztw9eidijykkux2zhk7x6lv2mcztw9ei,09/12/2024 14:56:04,19,Masculino,Branca,Não,RJ,Sudeste,,,True,,Rio de Janeiro (RJ),,Não tenho graduação formal,,Estagiário,Outra Opção,de 501 a 1.000,False,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python, JavaScript",Python,Python,"Google BigQuery, Elasticsearch, PostgreSQL",Google Cloud (GCP),Não sei opinar / Não tenho preferência,"Looker, Metabase"
v2tojez7lr469ivcc1ekvv2tojezbhwx,11/12/2024 01:57:23,19,Feminino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Outra opção,Estagiário,Telecomunicação,de 1.001 a 3.000,False,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de 1 a 2 anos,de 3 a 4 anos,"SQL, Python",SQL,Python,"PostgreSQL, Databricks, Oracle, MongoDB","Azure (Microsoft), Oracle Cloud",Azure (Microsoft),"Microsoft PowerBI, Grafana"
c1za0pr260318avp8q7slc1za0pdwx95,16/12/2024 18:12:57,19,Masculino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 1.001 a 3.000,False,,Analista de Suporte/Analista Técnico,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
g9tnu5yjfsfxsprgg9tnuopqpupcm7j6,17/12/2024 15:06:18,19,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
1vpdju3r423qm7ju6w1vpdvplgd0xc2x,14/10/2024 10:33:57,20,Feminino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,de 101 a 500,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,Databricks,Azure (Microsoft),Não sei opinar / Não tenho preferência,Microsoft PowerBI
